nation,squad_size_top5,squad_avg_ga_per90,squad_top3_ga_per90,squad_star_gap,squad_avg_minutes,squad_avg_cards_per90,squad_fwd_ga_per90,squad_def_count
Spain,287.0,0.1858885017421603,0.9366666666666666,0.7587089201877935,1702.1533101045295,0.20804878048780487,0.3601587301587302,117.0
France,208.0,0.2304326923076923,1.2666666666666666,1.0513983739837398,1698.2692307692307,0.16028846153846155,0.46051724137931027,74.0
Germany,163.0,0.2452760736196319,1.0866666666666667,0.8571666666666666,1685.1042944785277,0.15717791411042945,0.4836585365853659,61.0
Italy,148.0,0.16655405405405405,0.7200000000000001,0.564896551724138,1662.8108108108108,0.1731081081081081,0.33125000000000004,57.0
England,130.0,0.22753846153846152,1.0533333333333335,0.8453018372703414,1734.5692307692307,0.1706153846153846,0.4486956521739131,57.0
Brazil,73.0,0.24904109589041096,0.8733333333333334,0.6510476190476191,1635.013698630137,0.2106849315068493,0.4890909090909091,25.0
Netherlands,66.0,0.19803030303030303,0.7566666666666667,0.5852380952380953,1659.878787878788,0.1946969696969697,0.45461538461538464,31.0
Argentina,63.0,0.2382539682539683,0.77,0.5583333333333333,1735.904761904762,0.24539682539682542,0.43000000000000005,18.0
Portugal,48.0,0.276875,0.8533333333333334,0.6148888888888889,1862.75,0.17416666666666666,0.45538461538461544,17.0
Belgium,41.0,0.1931707317073171,0.5366666666666667,0.3706140350877194,1741.8048780487804,0.14975609756097563,0.366,12.0
Senegal,40.0,0.21425,0.7266666666666666,0.5539639639639639,1629.55,0.2,0.45,14.0
Switzerland,39.0,0.1587179487179487,0.5333333333333333,0.4058333333333333,1696.2564102564102,0.17333333333333334,0.35400000000000004,17.0
Denmark,38.0,0.235,0.6333333333333334,0.4324761904761905,1683.0,0.13657894736842108,0.3618181818181818,10.0
Morocco,36.0,0.2577777777777777,0.6966666666666667,0.47878787878787876,1245.6666666666667,0.23472222222222225,0.3976923076923077,9.0
Ivory Coast,32.0,0.2925,0.69,0.43862068965517237,1454.125,0.16031250000000002,0.4884615384615385,12.0
Norway,28.0,0.20071428571428568,0.75,0.6152,1462.5357142857142,0.15571428571428572,0.4283333333333333,10.0
Sweden,24.0,0.25458333333333333,0.7200000000000001,0.531904761904762,1393.6666666666667,0.14083333333333334,0.30222222222222217,7.0
Austria,24.0,0.21583333333333335,0.6733333333333333,0.5228571428571429,1854.3333333333333,0.24,0.346,10.0
Ghana,23.0,0.16565217391304346,0.5366666666666667,0.42666666666666675,1445.0434782608695,0.16782608695652174,0.37833333333333335,9.0
Nigeria,22.0,0.3068181818181818,0.6966666666666667,0.4514035087719298,1376.909090909091,0.13727272727272724,0.425,4.0
Croatia,22.0,0.2577272727272727,0.69,0.5005263157894737,1932.8636363636363,0.15363636363636365,0.46571428571428575,7.0
United States,20.0,0.18350000000000002,0.5733333333333334,0.45862745098039215,1756.7,0.196,0.42000000000000004,8.0
Uruguay,20.0,0.181,0.4366666666666667,0.3007843137254902,1687.35,0.195,0.4125,10.0
Poland,19.0,0.19684210526315793,0.5766666666666667,0.4510416666666667,1645.4736842105262,0.18421052631578946,0.45499999999999996,6.0
Algeria,19.0,0.24789473684210525,0.6033333333333334,0.42208333333333337,1630.0526315789473,0.1936842105263158,0.5933333333333334,7.0
Cameroon,18.0,0.22666666666666668,0.5466666666666666,0.384,1509.888888888889,0.2611111111111112,0.4466666666666666,7.0
Japan,16.0,0.19875,0.4066666666666667,0.25589743589743585,1742.375,0.15875,0.22666666666666668,4.0
Serbia,16.0,0.24562499999999998,0.7399999999999999,0.6084615384615383,2078.6875,0.175625,0.4800000000000001,3.0
Colombia,15.0,0.20866666666666664,0.62,0.5141666666666667,1603.1333333333334,0.23333333333333334,0.236,6.0
Turkey,15.0,0.2713333333333333,0.7399999999999999,0.5858333333333332,1711.2666666666667,0.20133333333333336,0.3866666666666667,4.0
Scotland,13.0,0.21230769230769234,0.4133333333333334,0.2613333333333334,1433.6923076923076,0.18307692307692303,0.3733333333333333,3.0
Mali,13.0,0.19230769230769235,0.5133333333333333,0.41733333333333333,1634.1538461538462,0.25846153846153846,0.405,6.0
Czech Republic,10.0,0.23900000000000005,0.6433333333333334,0.5776190476190477,1670.9,0.172,0.5866666666666667,4.0
Greece,9.0,0.22777777777777775,0.43,0.30333333333333334,1696.7777777777778,0.20333333333333334,0.5900000000000001,4.0
DR Congo,9.0,0.14222222222222222,0.31,0.25166666666666665,1265.7777777777778,0.2733333333333333,0.3,3.0
Wales,9.0,0.1677777777777778,0.39000000000000007,0.33333333333333337,1934.6666666666667,0.21888888888888888,0.12666666666666668,2.0
Slovakia,8.0,0.0625,0.10666666666666667,0.07066666666666667,2316.125,0.17875000000000002,,4.0
Georgia,8.0,0.375,0.6699999999999999,0.4719999999999999,1272.375,0.12125,0.526,1.0
Kosovo,8.0,0.25250000000000006,0.5233333333333333,0.4333333333333333,2264.375,0.1725,0.675,3.0
Ukraine,8.0,0.2725,0.5499999999999999,0.44399999999999995,1989.0,0.1875,0.5499999999999999,2.0
Republic of Ireland,8.0,0.13,0.3033333333333333,0.27733333333333327,1799.875,0.17125,0.58,5.0
Albania,7.0,0.1142857142857143,0.25666666666666665,0.24916666666666665,1582.2857142857142,0.17285714285714285,0.2,3.0
Guinea,7.0,0.23428571428571426,0.37000000000000005,0.23750000000000004,1178.142857142857,0.28857142857142853,0.6900000000000001,1.0
South Korea,7.0,0.23285714285714285,0.3466666666666667,0.1991666666666667,1469.4285714285713,0.15142857142857144,0.31999999999999995,1.0
Bosnia and Herzegovina,7.0,0.23142857142857146,0.54,0.54,1761.142857142857,0.19142857142857142,0.75,3.0
Canada,6.0,0.395,0.5266666666666667,0.26333333333333336,1372.5,0.13833333333333334,0.36333333333333334,1.0
